,Prompt,Label
141,The capital of Romania is,Bucharest
142,The capital of Russia is,Moscow
143,The capital of Rwanda is,Kigali
144,The capital of Saint Kitts and Nevis is,Basseterre
145,The capital of Saint Lucia is,Castries
146,The capital of Saint Vincent and the Grenadines is,Kingstown
147,The capital of Samoa is,Apia
148,The capital of San Marino is,San Marino
149,The capital of São Tomé and Príncipe is,São Tomé
150,The capital of Saudi Arabia is,Riyadh
151,The capital of Senegal is,Dakar
152,The capital of Serbia is,Belgrade
153,The capital of Seychelles is,Victoria
154,The capital of Sierra Leone is,Freetown
155,The capital of Singapore is,Singapore
156,The capital of Slovakia is,Bratislava
157,The capital of Slovenia is,Ljubljana
158,The capital of Solomon Islands is,Honiara
159,The capital of Somalia is,Mogadishu
160,The capital of South Africa is,Cape Town
161,The capital of South Korea is,Seoul
162,The capital of South Sudan is,Juba
163,The capital of Spain is,Madrid
164,The capital of Sri Lanka is,Sri Jayawardenepura Kotte
165,The capital of Sudan is,Khartoum
166,The capital of Suriname is,Paramaribo
167,The capital of Sweden is,Stockholm
168,The capital of Switzerland is,Bern
169,The capital of Syria is,Damascus
170,The capital of Taiwan is,Taipei
171,The capital of Tajikistan is,Dushanbe
172,The capital of Tanzania is,Dodoma
173,The capital of Thailand is,Bangkok
174,The capital of Timor-Leste is,Dili
175,The capital of Togo is,Lomé
176,The capital of Tonga is,Nuku'alofa
177,The capital of Trinidad and Tobago is,Port of Spain
178,The capital of Tunisia is,Tunis
179,The capital of Turkey is,Ankara
180,The capital of Turkmenistan is,Ashgabat
181,The capital of Tuvalu is,Funafuti
182,The capital of Uganda is,Kampala
183,The capital of Ukraine is,Kyiv
184,The capital of United Arab Emirates is,Abu Dhabi
185,The capital of United Kingdom is,London
186,The capital of United States is,Washington D.C.
187,The capital of Uruguay is,Montevideo
188,The capital of Uzbekistan is,Tashkent
189,The capital of Vanuatu is,Port Vila
190,The capital of Vatican City is,Vatican City
191,The capital of Venezuela is,Caracas
192,The capital of Vietnam is,Hanoi
193,The capital of Yemen is,Sana'a
194,The capital of Zambia is,Lusaka
195,The capital of Zimbabwe is,Harare
